===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2025-03-15 20:04:25
count workspace : f:\CWord\br-cti\client
total files : 2678
total code lines : 1066959
total comment lines : 93917
total blank lines : 67334

.gitignore, code is 5, comment is 16, blank is 2.
.gitmodules, code is 3, comment is 1, blank is 0.
bc-server\.idea\.gitignore, code is 8, comment is 0, blank is 0.
bc-server\.idea\golang project.iml, code is 9, comment is 0, blank is 0.
bc-server\.idea\modules.xml, code is 8, comment is 0, blank is 0.
bc-server\.idea\vcs.xml, code is 6, comment is 0, blank is 0.
bc-server\bc-server.exe, it is a binary file.
bc-server\config\local\config.yaml, code is 95, comment is 6, blank is 12.
bc-server\config\server\config.v0.yaml, code is 93, comment is 3, blank is 8.
bc-server\config\server\config.v1.yaml, code is 110, comment is 5, blank is 9.
bc-server\config\server\config.v2.yaml, code is 77, comment is 4, blank is 12.
bc-server\config\server\config.v3.yaml, code is 95, comment is 6, blank is 12.
bc-server\config\server\config.yaml, code is 95, comment is 6, blank is 12.
bc-server\config\server\config_template.yaml, code is 85, comment is 5, blank is 12.
bc-server\config\server\local_config.yaml, code is 95, comment is 6, blank is 13.
bc-server\config\server\organizations\ccp-generate.sh, code is 37, comment is 1, blank is 7.
bc-server\config\server\organizations\ccp-template.json, code is 47, comment is 0, blank is 2.
bc-server\config\server\organizations\ccp-template.yaml, code is 35, comment is 2, blank is 0.
bc-server\config\server\organizations\cryptogen\crypto-config-orderer.yaml, code is 21, comment is 0, blank is 1.
bc-server\config\server\organizations\cryptogen\crypto-config-org1.yaml, code is 59, comment is 0, blank is 2.
bc-server\config\server\organizations\cryptogen\crypto-config-org2.yaml, code is 60, comment is 0, blank is 1.
bc-server\config\server\organizations\fabric-ca\ordererOrg\fabric-ca-server-config.yaml, code is 310, comment is 1, blank is 15.
bc-server\config\server\organizations\fabric-ca\org1\fabric-ca-server-config.yaml, code is 310, comment is 1, blank is 15.
bc-server\config\server\organizations\fabric-ca\org2\fabric-ca-server-config.yaml, code is 310, comment is 1, blank is 15.
bc-server\config\server\organizations\fabric-ca\registerEnroll.sh, code is 136, comment is 1, blank is 50.
bc-server\config\server\organizations\ordererOrganizations\example.com\ca\ca.example.com-cert.pem, code is 15, comment is 0, blank is 0.
bc-server\config\server\organizations\ordererOrganizations\example.com\ca\priv_sk, code is 5, comment is 0, blank is 0.
bc-server\config\server\organizations\ordererOrganizations\example.com\msp\cacerts\ca.example.com-cert.pem, code is 15, comment is 0, blank is 0.
bc-server\config\server\organizations\ordererOrganizations\example.com\msp\config.yaml, code is 14, comment is 0, blank is 0.
bc-server\config\server\organizations\ordererOrganizations\example.com\msp\tlscacerts\tlsca.example.com-cert.pem, code is 15, comment is 0, blank is 0.
bc-server\config\server\organizations\ordererOrganizations\example.com\orderers\orderer.example.com\msp\cacerts\ca.example.com-cert.pem, code is 15, comment is 0, blank is 0.
